TripId,UserProgramName,UserId,UserRole,UserCity,UserState,UserZip,UserCountry,MembershipType,Bike,BikeType,CheckoutKioskName,ReturnKioskName,DurationMins,AdjustedDurationMins,UsageFee,AdjustmentFlag,Distance,EstimatedCarbonOffset,EstimatedCaloriesBurned,CheckoutDateLocal,ReturnDateLocal,CheckoutTimeLocal,ReturnTimeLocal,TripOver30Mins,LocalProgramFlag,TripRouteCategory,TripProgramName
19254986,Houston BCycle,124653,RFID Card Member,HOUSTON ,TX,77008,UNITED STATES,Annual Membership,055,Standard,MFAH/Fannin & Binz,The Southmore,3,0,0,N,.0,.0,0,2019-02-05,2019-02-05,12:18:15,12:21:37,N,Y,One Way,Houston BCycle
19255404,Houston BCycle,124653,RFID Card Member,HOUSTON ,TX,77008,UNITED STATES,Annual Membership,055,Standard,The Southmore,City Hall,26,0,0,N,3.0,2.9,120,2019-02-05,2019-02-05,13:43:02,14:09:12,N,Y,One Way,Houston BCycle
19294462,Houston BCycle,171825,RFID Card Member,Houston,TX,77005,UNITED STATES,Monthly Membership,02112,Standard,1919 Runnels,Main & Walker,13,0,0,N,1.0,1.0,40,2019-02-18,2019-02-18,20:45:57,20:58:32,N,Y,One Way,Houston BCycle
19302623,Houston BCycle,171825,RFID Card Member,Houston,TX,77005,UNITED STATES,Monthly Membership,02073,Standard,Menil Collection/Alabama & Mulberry,Elgin & Smith,14,0,0,N,2.0,1.9,80,2019-02-21,2019-02-21,20:57:24,21:11:55,N,Y,One Way,Houston BCycle
19284999,Houston BCycle,171825,RFID Card Member,Houston,TX,77005,UNITED STATES,Monthly Membership,02334,Standard,Elgin & Smith,Main & Dallas,9,0,0,N,1.0,1.0,40,2019-02-16,2019-02-16,04:50:06,04:59:27,N,Y,One Way,Houston BCycle
19287409,Houston BCycle,171825,RFID Card Member,Houston,TX,77005,UNITED STATES,Monthly Membership,02221,Standard,Clay & Smith,Brazos & McGowen,9,0,0,N,1.0,1.0,40,2019-02-16,2019-02-16,17:20:28,17:29:19,N,Y,One Way,Houston BCycle
19267117,Houston BCycle,171825,RFID Card Member,Houston,TX,77005,UNITED STATES,Monthly Membership,603,Standard,City Hall,Sabine Bridge ,4,0,0,N,.0,.0,0,2019-02-10,2019-02-10,15:33:49,15:37:41,N,Y,One Way,Houston BCycle
19267538,Houston BCycle,171825,RFID Card Member,Houston,TX,77005,UNITED STATES,Monthly Membership,140,Standard,Dunstan & Kelvin,Dunstan & Kelvin,78,60,0,Y,11.0,10.5,440,2019-02-10,2019-02-10,18:02:46,19:20:23,Y,Y,Round Trip,Houston BCycle
19267684,Houston BCycle,171825,RFID Card Member,Houston,TX,77005,UNITED STATES,Monthly Membership,140,Standard,Menil Collection/Alabama & Mulberry,Elgin & Smith,10,0,0,N,1.0,1.0,40,2019-02-10,2019-02-10,19:37:55,19:47:10,N,Y,One Way,Houston BCycle
19267744,Houston BCycle,171825,RFID Card Member,Houston,TX,77005,UNITED STATES,Monthly Membership,140,Standard,Tellepsen YMCA,Elgin & Smith,6,0,0,N,.0,.0,0,2019-02-10,2019-02-10,20:40:13,20:46:43,N,Y,One Way,Houston BCycle
