TripId,UserProgramName,UserId,UserRole,UserCity,UserState,UserZip,UserCountry,MembershipType,Bike,BikeType,CheckoutKioskName,ReturnKioskName,DurationMins,AdjustedDurationMins,UsageFee,AdjustmentFlag,Distance,EstimatedCarbonOffset,EstimatedCaloriesBurned,CheckoutDateLocal,ReturnDateLocal,CheckoutTimeLocal,ReturnTimeLocal,TripOver30Mins,LocalProgramFlag,TripRouteCategory,TripProgramName
28452406,Houston BCycle,212491,RFID Card Member,Houston,TX,77025,UNITED STATES,Annual Membership,324,Standard,Clay & Smith,Clay & Smith,33,0,0,N,5.0,4.7,198,2022-11-10,2022-11-10,10:57:57,11:30:45,Y,Y,Round Trip,Houston BCycle
28434550,Houston BCycle,220781,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Membership,02269,Standard,Clay & Smith,Clay & Smith,48,0,0,N,7.2,6.8,288,2022-11-08,2022-11-08,13:32:44,14:20:55,Y,Y,Round Trip,Houston BCycle
28394819,Houston BCycle,273109,RFID Card Member,The Woodlands,TX,77393,UNITED STATES,Annual Membership,12862,Standard,La Branch & Lamar,Lamar & Milam,5,0,0,N,.8,.7,30,2022-11-03,2022-11-03,16:01:49,16:06:48,N,Y,One Way,Houston BCycle
28558025,Houston BCycle,273109,RFID Card Member,The Woodlands,TX,77393,UNITED STATES,Annual Membership,01474,Standard,La Branch & Lamar,Lamar & Milam,5,0,0,N,.8,.7,30,2022-11-30,2022-11-30,16:20:32,16:25:05,N,Y,One Way,Houston BCycle
28422894,Houston BCycle,284655,Non-RFID Card Member,Houston,TX,77019,UNITED STATES,Single Trip ,12804,Standard,Lost Lake,Sabine Bridge,25,0,0,N,3.7,3.6,149,2022-11-07,2022-11-07,09:39:01,10:04:39,N,Y,One Way,Houston BCycle
28450803,Houston BCycle,320993,RFID Card Member,Houston,TX,77007,UNITED STATES,Annual Membership,082 SA,Standard,Jackson Hill & Memorial Dr.,TMC Pressler & Bertner,30,0,0,N,4.5,4.3,180,2022-11-10,2022-11-10,07:26:33,07:56:33,N,Y,One Way,Houston BCycle
28503469,Houston BCycle,1067025,RFID Card Member,Houston,TX,77006,UNITED STATES,Annual Membership,038,Standard,Main Street Square METRORail Main & Walker,Main Street Square METRORail Main & Walker,69,0,3.24,N,10.4,9.8,414,2022-11-18,2022-11-18,11:29:11,12:38:50,Y,Y,Round Trip,Houston BCycle
28436751,Houston BCycle,1136279,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Membership,14125,Standard,Main Street Square METRORail Main & Walker,Main Street Square METRORail Main & Walker,31,0,0,N,4.6,4.4,185,2022-11-08,2022-11-08,16:30:27,17:01:00,Y,Y,Round Trip,Houston BCycle
28490216,Houston BCycle,1196363,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Membership,582 SA,Standard,Louisiana & Walker,Milam & Webster,8,0,0,N,1.2,1.1,48,2022-11-15,2022-11-15,19:25:24,19:33:49,N,Y,One Way,Houston BCycle
28495068,Houston BCycle,1196363,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Membership,301,Standard,Lamar & Milam,Midtown Park,186,0,16.2,N,18.0,17.1,720,2022-11-16,2022-11-16,16:39:11,19:45:02,Y,Y,One Way,Houston BCycle
28378652,Houston BCycle,1212271,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Membership,628 SA,Standard,UHD/Main & Franklin,Lamar & Milam,5,0,0,N,.8,.7,30,2022-11-02,2022-11-02,07:00:57,07:05:45,N,Y,One Way,Houston BCycle
