TripId,UserProgramName,UserId,UserRole,UserCity,UserState,UserZip,UserCountry,MembershipType,Bike,BikeType,CheckoutKioskName,ReturnKioskName,DurationMins,AdjustedDurationMins,UsageFee,AdjustmentFlag,Distance,EstimatedCarbonOffset,EstimatedCaloriesBurned,CheckoutDateLocal,ReturnDateLocal,CheckoutTimeLocal,ReturnTimeLocal,TripOver30Mins,LocalProgramFlag,TripRouteCategory,TripProgramName
26004546,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,21985,Standard,Market Square,Market Square,55,0,0,N,8.2,7.8,329,2022-02-10,2022-02-10,13:41:10,14:36:58,Y,Y,Round Trip,Houston BCycle
25982559,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,696 D ,Standard,West Gray & Baldwin,West Gray & Baldwin,256,0,0,N,18.0,17.1,720,2022-02-05,2022-02-06,21:31:42,01:47:04,Y,Y,Round Trip,Houston BCycle
25982557,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,02289,Standard,West Gray & Baldwin,Crawford Island,267,0,0,N,18.0,17.1,720,2022-02-05,2022-02-06,21:31:19,01:58:31,Y,Y,One Way,Houston BCycle
25982556,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,12747,Standard,West Gray & Baldwin,West Gray & Baldwin,257,0,0,N,18.0,17.1,720,2022-02-05,2022-02-06,21:30:50,01:47:01,Y,Y,Round Trip,Houston BCycle
26061457,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,378,Standard,Pearl City Centre,Memorial City Club,326,0,0,N,18.0,17.1,720,2022-02-21,2022-02-22,18:36:51,00:02:40,Y,Y,One Way,Houston BCycle
26050150,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,01649,Standard,West Gray & Baldwin,West Gray & Baldwin,0,0,0,N,.0,.0,0,2022-02-20,2022-02-20,00:12:12,00:12:18,N,Y,Round Trip,Houston BCycle
26063824,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,01468,Standard,Market Square,Milam & Webster,297,0,0,N,18.0,17.1,720,2022-02-22,2022-02-22,15:56:17,20:53:39,Y,Y,One Way,Houston BCycle
26062240,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,068 R2,Standard,Bobcat Teddy's,Bobcat Teddy's,0,0,0,N,.0,.0,0,2022-02-21,2022-02-21,22:16:30,22:16:30,N,Y,Round Trip,Houston BCycle
26084813,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,257,Standard,2222 Smith,West Gray & Baldwin,98,0,0,N,14.7,14.0,588,2022-02-28,2022-02-28,18:29:13,20:07:15,Y,Y,One Way,Houston BCycle
26031135,Houston BCycle,2377578,Maintenance,,,,UNITED STATES,,352,Standard,Alexander Deussen Park Boat Ramp/Parking Lot/Pavilion 4,Alexander Deussen Park Boat Ramp/Parking Lot/Pavilion 4,0,0,0,N,.0,.0,0,2022-02-16,2022-02-16,08:48:42,08:48:42,N,Y,Round Trip,Houston BCycle
26031138,Houston BCycle,2377578,Maintenance,,,,UNITED STATES,,352,Standard,Alexander Deussen Park Boat Ramp/Parking Lot/Pavilion 4,Alexander Deussen Park Boat Ramp/Parking Lot/Pavilion 4,1,0,0,N,.1,.1,5,2022-02-16,2022-02-16,08:49:25,08:50:03,N,Y,Round Trip,Houston BCycle
26031140,Houston BCycle,2377578,Maintenance,,,,UNITED STATES,,352,Standard,Alexander Deussen Park Boat Ramp/Parking Lot/Pavilion 4,Alexander Deussen Park Boat Ramp/Parking Lot/Pavilion 4,0,0,0,N,.0,.0,0,2022-02-16,2022-02-16,08:50:13,08:50:47,N,Y,Round Trip,Houston BCycle
26031145,Houston BCycle,2377578,Maintenance,,,,UNITED STATES,,710,Standard,Alexander Deussen Park Boat Ramp/Parking Lot/Pavilion 4,Alexander Deussen Park Boat Ramp/Parking Lot/Pavilion 4,0,0,0,N,.0,.0,0,2022-02-16,2022-02-16,08:51:03,08:51:37,N,Y,Round Trip,Houston BCycle
26031148,Houston BCycle,2377578,Maintenance,,,,UNITED STATES,,710,Standard,Alexander Deussen Park Boat Ramp/Parking Lot/Pavilion 4,Alexander Deussen Park Boat Ramp/Parking Lot/Pavilion 4,0,0,0,N,.0,.0,0,2022-02-16,2022-02-16,08:52:00,08:52:32,N,Y,Round Trip,Houston BCycle
26031260,Houston BCycle,2377578,Maintenance,,,,UNITED STATES,,01630,Standard,Alexander Deussen Park Senior Center/ Pavillion 1,Alexander Deussen Park Senior Center/ Pavillion 1,4,0,0,N,.6,.6,23,2022-02-16,2022-02-16,09:17:30,09:21:02,N,Y,Round Trip,Houston BCycle
26031285,Houston BCycle,2377578,Maintenance,,,,UNITED STATES,,01630,Standard,Alexander Deussen Park Senior Center/ Pavillion 1,Alexander Deussen Park Senior Center/ Pavillion 1,0,0,0,N,.0,.0,0,2022-02-16,2022-02-16,09:23:19,09:23:36,N,Y,Round Trip,Houston BCycle
26031289,Houston BCycle,2377578,Maintenance,,,,UNITED STATES,,11330,Standard,Alexander Deussen Park Senior Center/ Pavillion 1,Alexander Deussen Park Senior Center/ Pavillion 1,0,0,0,N,.0,.0,0,2022-02-16,2022-02-16,09:23:44,09:23:56,N,Y,Round Trip,Houston BCycle
26031291,Houston BCycle,2377578,Maintenance,,,,UNITED STATES,,013,Standard,Alexander Deussen Park Senior Center/ Pavillion 1,Alexander Deussen Park Senior Center/ Pavillion 1,0,0,0,N,.0,.0,0,2022-02-16,2022-02-16,09:24:02,09:24:25,N,Y,Round Trip,Houston BCycle
26031294,Houston BCycle,2377578,Maintenance,,,,UNITED STATES,,11322,Standard,Alexander Deussen Park Senior Center/ Pavillion 1,Alexander Deussen Park Senior Center/ Pavillion 1,0,0,0,N,.0,.0,0,2022-02-16,2022-02-16,09:24:33,09:24:56,N,Y,Round Trip,Houston BCycle
26061302,Houston BCycle,2377578,Maintenance,,,,UNITED STATES,,532 R2,Standard,Memorial Park Running Center,Memorial Park Running Center,48,0,0,N,7.2,6.8,288,2022-02-21,2022-02-21,18:12:41,19:00:31,Y,Y,Round Trip,Houston BCycle
26067722,Houston BCycle,2377578,Maintenance,,,,UNITED STATES,,250 R2,Standard,Dwight D. Eisenhower Park Trailheads,Dwight D. Eisenhower Park Trailheads,0,0,0,N,.0,.0,0,2022-02-24,2022-02-24,11:54:33,11:54:33,N,Y,Round Trip,Houston BCycle
