TripId,UserProgramName,UserId,UserRole,UserCity,UserState,UserZip,UserCountry,MembershipType,Bike,BikeType,CheckoutKioskName,ReturnKioskName,DurationMins,AdjustedDurationMins,UsageFee,AdjustmentFlag,Distance,EstimatedCarbonOffset,EstimatedCaloriesBurned,CheckoutDateLocal,ReturnDateLocal,CheckoutTimeLocal,ReturnTimeLocal,TripOver30Mins,LocalProgramFlag,TripRouteCategory,TripProgramName
19216005,Houston BCycle,171825,RFID Card Member,Houston,TX,77005,UNITED STATES,Monthly Membership,01737,Standard,1919 Runnels,1919 Runnels,0,0,0,N,.1,.1,2,2019-01-25,2019-01-25,00:09:32,00:09:55,N,Y,Round Trip,Houston BCycle
19221959,Houston BCycle,171825,RFID Card Member,Houston,TX,77005,UNITED STATES,Monthly Membership,01401,Standard,Jury Assembly,Jury Assembly,52,0,0,N,.9,.8,34,2019-01-26,2019-01-26,21:24:30,22:16:13,Y,Y,Round Trip,Houston BCycle
19168036,Houston BCycle,171825,RFID Card Member,Houston,TX,77005,UNITED STATES,Monthly Membership,01901,Standard,Sabine Bridge ,Sabine Bridge ,0,0,0,N,.0,.0,0,2019-01-08,2019-01-08,13:27:02,13:27:37,N,Y,Round Trip,Houston BCycle
19154952,Houston BCycle,208336,RFID Card Member,Houston,TX,77003,UNITED STATES,Annual Membership,706,Standard,Guadalupe Park Plaza,Bobcat Teddy's,69,0,3.24,N,10.0,9.5,400,2019-01-05,2019-01-05,11:33:05,12:42:06,Y,Y,One Way,Houston BCycle
19155327,Houston BCycle,208342,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Membership,02109,Standard,Main & Dallas,Baldwin Park,12,0,0,N,1.0,1.0,40,2019-01-05,2019-01-05,12:32:15,12:44:49,N,Y,One Way,Houston BCycle
19154680,Houston BCycle,208342,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Membership,01701,Standard,2222 Smith,Market Square,9,0,0,N,1.0,1.0,40,2019-01-05,2019-01-05,10:24:17,10:33:51,N,Y,One Way,Houston BCycle
19151165,Houston BCycle,208342,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Membership,02311,Standard,Lamar & Milam,Market Square,3,0,0,N,.0,.0,0,2019-01-04,2019-01-04,09:12:25,09:15:52,N,Y,One Way,Houston BCycle
19174411,Houston BCycle,208342,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Membership,482,Standard,Market Square,Jury Assembly,4,0,0,N,.0,.0,0,2019-01-10,2019-01-10,10:20:55,10:24:11,N,Y,One Way,Houston BCycle
19176509,Houston BCycle,208342,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Membership,509,Standard,Market Square,METRO Transit Center ,146,0,9.72,N,18.0,17.1,720,2019-01-10,2019-01-10,18:18:04,20:44:15,Y,Y,One Way,Houston BCycle
19230223,Houston BCycle,208342,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Membership,405,Standard,Market Square,Market Square,0,0,0,N,.0,.0,0,2019-01-29,2019-01-29,14:13:24,14:13:48,N,Y,Round Trip,Houston BCycle
