TripId,UserProgramName,UserId,UserRole,UserCity,UserState,UserZip,UserCountry,MembershipType,Bike,BikeType,CheckoutKioskName,ReturnKioskName,DurationMins,AdjustedDurationMins,UsageFee,AdjustmentFlag,Distance,EstimatedCarbonOffset,EstimatedCaloriesBurned,CheckoutDateLocal,ReturnDateLocal,CheckoutTimeLocal,ReturnTimeLocal,TripOver30Mins,LocalProgramFlag,TripRouteCategory,TripProgramName
3676102,Houston B-cycle,362789,Member,Houston,TX,77010,UNITED STATES,Annual Member,850,Standard,Milam & Webster,La Branch & Lamar,8,0,0,N,1.2,1.1,48,2014-12-01,2014-12-01,06:02:05,06:10:52,N,Y,One Way,Houston B-cycle
3676103,Houston B-cycle,208675,Member,Katy,TX,77494,UNITED STATES,Annual Member,851,Standard,Dallas & Smith,La Branch & Lamar,4,0,0,N,.6,.6,24,2014-12-01,2014-12-01,06:03:15,06:07:17,N,Y,One Way,Houston B-cycle
3676122,Houston B-cycle,596717,Subscriber,,,77007,UNITED STATES,24 Hour Kiosk,195,Standard,Spotts Park,McKinney & Caroline,23,0,0,N,3.5,3.3,138,2014-12-01,2014-12-01,06:41:57,07:04:20,N,Y,One Way,Houston B-cycle
3676139,Houston B-cycle,602126,Member,Spring,TX,77388,UNITED STATES,Annual Member,261,Standard,Market Square,Dallas & Smith,10,0,0,N,1.5,1.4,60,2014-12-01,2014-12-01,06:52:16,07:02:07,N,Y,One Way,Houston B-cycle
3676143,Houston B-cycle,208349,Member,Magnolia,TX,77354,UNITED STATES,Annual Member,118,Standard,Market Square,La Branch & Lamar,5,0,0,N,.8,.7,30,2014-12-01,2014-12-01,06:54:14,06:59:27,N,Y,One Way,Houston B-cycle
3676177,Houston B-cycle,315485,Member,Houston,TX,77007,UNITED STATES,Annual Member,871,Standard,Sabine Bridge ,Sabine Bridge ,41,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,07:22:58,08:03:51,Y,Y,Round Trip,Houston B-cycle
3676193,Houston B-cycle,586358,Member,Houston,TX,77002,UNITED STATES,Annual Member,210,Standard,West Gray & Baldwin,Dallas & Smith,7,0,0,N,1.1,1.0,42,2014-12-01,2014-12-01,07:27:46,07:34:15,N,Y,One Way,Houston B-cycle
3676204,Houston B-cycle,529475,Subscriber,,,77006,UNITED STATES,24 Hour Kiosk,165,Standard,Spotts Park,Spotts Park,28,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,07:33:11,08:01:31,N,Y,Round Trip,Houston B-cycle
3676225,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,168,Standard,Sabine Bridge ,Smith & Capitol,36,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,07:43:54,08:19:08,Y,Y,One Way,Houston B-cycle
3676226,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,970,Standard,Sabine Bridge ,Smith & Capitol,25,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,07:44:22,08:09:22,N,Y,One Way,Houston B-cycle
3676227,Houston B-cycle,424852,Member,Houston,TX,77003,UNITED STATES,Annual Member,153,Standard,Rusk & St. Emanuel ,Main & Dallas,7,0,0,N,1.1,1.0,42,2014-12-01,2014-12-01,07:44:29,07:51:49,N,Y,One Way,Houston B-cycle
3676228,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,876,Standard,Sabine Bridge ,Smith & Capitol,21,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,07:44:48,08:05:13,N,Y,One Way,Houston B-cycle
3676234,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,148 R,Standard,Sabine Bridge ,Sabine Bridge ,0,0,0,N,.0,.0,0,2014-12-01,2014-12-01,07:45:31,07:45:55,N,Y,Round Trip,Houston B-cycle
3676310,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,876,Standard,Smith & Capitol,Smith & Capitol,1,0,0,N,.2,.1,6,2014-12-01,2014-12-01,08:19:25,08:20:06,N,Y,Round Trip,Houston B-cycle
3676320,Houston B-cycle,612723,Member,Houston,TX,77006,UNITED STATES,Annual Member,992,Standard,West Gray & Baldwin,Dallas & Smith,7,0,0,N,1.1,1.0,42,2014-12-01,2014-12-01,08:21:21,08:28:09,N,Y,One Way,Houston B-cycle
3676328,Houston B-cycle,370174,Member,Houston,TX,77257,UNITED STATES,Annual Member,255,Standard,West Gray & Baldwin,Dallas & Smith,9,0,0,N,1.4,1.3,54,2014-12-01,2014-12-01,08:23:16,08:32:57,N,Y,One Way,Houston B-cycle
3676331,Houston B-cycle,390928,Member,Houston,TX,77006,UNITED STATES,Annual Member,231,Standard,Taft & Fairview,Lamar & Milam,15,0,0,N,2.4,2.3,97,2014-12-01,2014-12-01,08:24:08,08:39:56,N,Y,One Way,Houston B-cycle
