TripId,UserProgramName,UserId,UserRole,UserCity,UserState,UserZip,UserCountry,MembershipType,Bike,BikeType,CheckoutKioskName,ReturnKioskName,DurationMins,AdjustedDurationMins,UsageFee,AdjustmentFlag,Distance,EstimatedCarbonOffset,EstimatedCaloriesBurned,CheckoutDateLocal,ReturnDateLocal,CheckoutTimeLocal,ReturnTimeLocal,TripOver30Mins,LocalProgramFlag,TripRouteCategory,TripProgramName
28832485,Houston BCycle,208125,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Membership,285 SA,Standard,Washington & Mentor,Main Street Square METRORail Main & Walker,77,0,3.24,N,11.6,11.0,462,2023-02-04,2023-02-04,16:39:28,17:56:22,Y,Y,One Way,Houston BCycle
28844058,Houston BCycle,208125,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Membership,01462,Standard,UHD/Main & Franklin,Main Street Square METRORail Main & Walker,4,0,0,N,.6,.6,23,2023-02-06,2023-02-06,16:49:32,16:53:57,N,Y,One Way,Houston BCycle
28967352,Houston BCycle,212491,RFID Card Member,Houston,TX,77025,UNITED STATES,Annual Membership,01733,Standard,Clay & Smith,Clay & Smith,1,0,0,N,.1,.1,5,2023-02-28,2023-02-28,11:07:33,11:08:06,N,Y,Round Trip,Houston BCycle
28967351,Houston BCycle,220781,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Membership,01481,Standard,Clay & Smith,Clay & Smith,53,0,0,N,8.0,7.6,318,2023-02-28,2023-02-28,11:07:27,12:00:49,Y,Y,Round Trip,Houston BCycle
28883872,Houston BCycle,248077,RFID Card Member,Houston,TX,77027,UNITED STATES,Annual Membership,01938,Standard,Memorial Park Running Center,Memorial Park Running Center,30,0,0,N,4.5,4.3,180,2023-02-13,2023-02-13,18:15:45,18:45:43,N,Y,Round Trip,Houston BCycle
28970172,Houston BCycle,320993,RFID Card Member,Houston,TX,77007,UNITED STATES,Annual Membership,024 SA,Standard,TMC Garage 2,TMC Commons,2,0,0,N,.3,.3,12,2023-02-28,2023-02-28,16:31:19,16:33:52,N,Y,One Way,Houston BCycle
28970207,Houston BCycle,320993,RFID Card Member,Houston,TX,77007,UNITED STATES,Annual Membership,134 SA,Standard,TMC Commons,Jackson Hill & Memorial Dr.,27,0,0,N,4.1,3.8,162,2023-02-28,2023-02-28,16:34:13,17:01:38,N,Y,One Way,Houston BCycle
28913003,Houston BCycle,989476,RFID Card Member,Houston,TX,77019,UNITED STATES,Monthly Membership,Unicorn X10,Standard,Taft & Fairview,Taft & Fairview,38,0,0,N,5.7,5.4,228,2023-02-19,2023-02-19,10:20:09,10:58:31,Y,Y,Round Trip,Houston BCycle
28877082,Houston BCycle,1129852,RFID Card Member,Houston,TX,77494,UNITED STATES,Monthly Membership,21230,Standard,Hermann Park Lake Plaza,Centennial Gardens,23,0,0,N,3.5,3.3,138,2023-02-12,2023-02-12,16:36:31,16:59:20,N,Y,One Way,Houston BCycle
28824433,Houston BCycle,1212271,RFID Card Member,Houston,TX,77002,UNITED STATES,Annual Membership,282 B,Standard,UHD/Main & Franklin,Lamar & Milam,5,0,0,N,.8,.7,30,2023-02-03,2023-02-03,07:27:38,07:32:52,N,Y,One Way,Houston BCycle
28826660,Houston BCycle,1225132,RFID Card Member,Denver,CO,80202,UNITED STATES,Monthly Membership,626 SA,Standard,Elgin & Smith,Lamar & Crawford,21,0,0,N,3.2,3.0,126,2023-02-03,2023-02-03,15:11:53,15:32:53,N,Y,One Way,Houston BCycle
28912664,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,01444,Standard,West Gray & Baldwin,West Gray & Baldwin,367,0,0,N,18.0,17.1,720,2023-02-19,2023-02-19,09:12:35,15:19:42,Y,Y,Round Trip,Houston BCycle
28915690,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,454 R2,Standard,West Gray & Baldwin,West Gray & Baldwin,142,0,0,N,18.0,17.1,720,2023-02-19,2023-02-19,14:48:17,17:10:43,Y,Y,Round Trip,Houston BCycle
28915696,Houston BCycle,1331134,Maintenance,,,,UNITED STATES,,21290,Standard,West Gray & Baldwin,West Gray & Baldwin,142,0,0,N,18.0,17.1,720,2023-02-19,2023-02-19,14:48:42,17:10:48,Y,Y,Round Trip,Houston BCycle
